"year","quarter","bf_mod_jp3_value","bmi_value","fat_mass_value","ffm_value","ffmi_std_value","hip_value","waist_value","bf_mod_jp3_deriv","bmi_deriv","fat_mass_deriv","ffm_deriv","ffmi_std_deriv","hip_deriv","waist_deriv","bf_mod_jp3_change","bmi_change","fat_mass_change","ffm_change","ffmi_std_change","hip_change","waist_change"
2021,"Q4",0.278112380956401,29.6218855990235,23.4960590398164,59.5442396832551,21.8290236972984,96.2290753802512,100.252623333143,7.22201543768286e-05,0.00200890958131694,0.00718917904955596,0.000657486673016905,0.000232953044580597,0.00142061383868963,0.00738804646596236,0.00679368603560354,0.188642252926922,0.676708731699723,0.0617391127280271,0.0218746856320919,0.126489819960995,0.698303677757394
2022,"Q1",0.284429038000394,29.7993268585978,24.1254251159143,59.602371457429,21.8496202726151,96.3611611759659,100.897504411799,6.79293087597899e-05,0.00193586515703181,0.00678016750274146,0.000635179968099919,0.000225049591874082,0.00151575179295094,0.00693033331457116,0.00631665704399315,0.177441259574305,0.629366076097924,0.0581317741738729,0.0205965753167021,0.132085795714659,0.644881078656056
2022,"Q2",0.290362226190709,29.972507940969,24.719777052074,59.6593428067695,21.8698056996774,96.5037314860476,101.504263811174,6.22448079637128e-05,0.00187198465459026,0.00626557607025546,0.000617806013647026,0.000218893854041724,0.00161881249123752,0.00639245221744034,0.00593318819031541,0.173181082371183,0.594351936159704,0.0569713493404933,0.0201854270622519,0.142570310081751,0.606759399374639
2022,"Q3",0.295771708908567,30.1421501582068,25.2683243891434,59.7155757347415,21.8897294978534,96.6577238328442,102.064416410779,5.5122033896321e-05,0.00181759875442822,0.0056420555152048,0.000605536542344964,0.000214546677419492,0.00173002352433826,0.00577191426043555,0.00540948271785757,0.169642217237772,0.548547337069415,0.0562329279720188,0.019923798176027,0.153992346796585,0.560152599605175
2022,"Q4",0.30046226349459,30.307260478654,25.7547312589989,59.7709247911029,21.9093401329021,96.8222721775086,102.563929907359,4.66159355325679e-05,0.00177346515914323,0.00491469634821406,0.000598591413421445,0.000212085959967467,0.00184829070575177,0.00507421084734005,0.00469055458602313,0.16511032044729,0.486406869855461,0.0553490563613366,0.0196106350486573,0.164548344664411,0.499513496580136
2023,"Q1",0.304232941227617,30.4653023202988,26.161258326274,59.8246858961078,21.9283881434622,96.994081257898,102.987088720385,3.69562095826614e-05,0.00174021140299452,0.00410267223024441,0.000596949246180145,0.000211504126339079,0.00197081458532722,0.00431700747473229,0.00377067773302736,0.158041841644803,0.406527067275146,0.0537611050049023,0.0190480105601232,0.171809080389409,0.423158813025424
2023,"Q2",0.298801857096547,30.2710489599864,25.5286842089439,59.9037523039019,21.9564020351126,98.0751593084417,102.032320959198,-2.89629319008833e-05,0.0067344236263942,0.00317957219640519,0.0137393345108414,0.00486796149052005,0.0384130117744093,0.0168187261744208,-0.00543108413107063,-0.194253360312427,-0.632574117330154,0.0790664077941585,0.0280138916504491,1.08107805054368,-0.954767761186218
2023,"Q3",0.298273381046093,30.803920526544,25.9327963972344,61.0081888968833,22.347713186254,100.167816587423,103.13299864232,1.34965443510382e-05,0.00350065836818203,0.00413012726652084,0.00575013091184218,0.0020373196257939,0.00305398188069717,0.00284977984428281,-0.000528476050453419,0.532871566557549,0.404112188290505,1.10443659298136,0.391311151141405,2.09265727898088,1.10067768312199
2023,"Q4",0.299743067019224,30.8956916099773,26.1375954440763,61.0624045559237,22.3669222491226,100.5,103.5,2.67552695059625e-05,-0.013981341730064,-0.00952970151267607,-0.0299312373862648,-0.010604888529711,0.0252875810799367,0.0481071990793893,0.00146968597313085,0.0917710834333256,0.204799046841941,0.0542156590404161,0.019209062868569,0.332183412577422,0.367001357679584
2024,"Q1",0.280382133639183,29.0029012293623,22.9556974101055,58.9020910196465,21.60150503814,99.7240330578512,99.2327404958678,-0.000470792577688534,-0.03090125513015,-0.0609937816913941,-0.0262219207879362,-0.00929064653767497,0.0929139118457272,0.0952095041322281,-0.0193609333800414,-1.892790380615,-3.18189803397077,-2.16031353627724,-0.765417210982577,-0.775966942148784,-4.26725950413224
